idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,Store A,open,Mobile keystroke for butter/oil,200,655.35,Филе грудки индейки HoReCa «FarmLine» 5кг | Йогурт греческий черника «Mediterran» 140г | Мороженое пломбир фисташка «CreamLab» 450г,,,3,,0
2,йогурт гр,Store A,open,Partial multi-word,200,72.54,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий черника «Mediterran» 140г,,,3,,1
3,bon pa,Store A,open,Foreign brand transliteration,200,25.82,Мармелад жевательный ягодный «Bon Paris» 75г | Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г,,,3,,1
4,холс,Store B,open,Brand typed in Cyrillic,200,16.53,Рыба минтай блок филе «HoReCaFish» 10кг | Сахар-песок меш 25кг «HoReCa» 1000г | Сахар-песок 5кг «HoReCa» 900г,,,3,,0
5,крем для рук,Store B,open,Full phrase but should tolerate prefixes,200,114.99,Крем для рук антибактериальный «Atelier Skin» 50мл | Крем для рук коллаген «Atelier Skin» 50мл | Крем для рук коллаген «Herbal Line» 100мл,,,3,,1
6,масло раст 10л,Store C,open,B2B volume intent,200,28.20,Масло подсолнечное premium «Южное» 900мл | Масло сливочное безлактозное «Teos» 1кг | Масло подсолнечное premium «Helio» 10000мл,,,3,,1
7,кар тофель,Store D,open,Broken spacing,200,36.85,Кабель USB-C PD 100W «ChargeLab» 1шт | Кабель USB-C 1м «VoltEdge» 1шт | Кабель USB-C PD 100W «FlexWire» 1шт,,,3,,0
8,xfq,Store E,open,Wrong keyboard layout for чай,200,22.36,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г,,,3,,1
9,adapter usb c,Store E,open,English technical query,200,32.84,Адаптер USB-C 35W «TechNode» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «VoltEdge» 1шт,,,3,,1
10,pr,Store F,open,Wine prefix (prosecco/premium),200,29.22,Power Bank slim «HyperCell» 1шт | Power Bank wireless «HyperCell» 1шт | Power Bank 20000mAh «HyperCell» 1шт,,,3,,0
11,riesling mos,Store F,open,Region-specific wine,200,20.54,Вино игристое riesling mosel «Rieslinghaus» 750мл | Вино игристое riesling mosel «Rieslinghaus» 1500мл | Вино игристое brut «Rieslinghaus» 1500мл,,,3,,1
12,памперсы 3,Store D,open,Size constraint,200,25.46,Чайный сервиз фарфоровый «TeaArt» 12пр | Подгузники детские размер 3 «EcoBaby» 60шт | Подгузники детские размер 3 «EcoBaby» 32шт,,,3,,1
13,масло сл,Store A,open,Two-letter stop,200,19.30,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг,,,3,,1
14,филе инд,Store A,open,Protein intent,200,35.06,Филе грудки индейки HoReCa «FarmLine» 5кг | Филе грудки индейки охлажденное «ProteinPro» 5кг | Филе грудки индейки HoReCa «FarmLine» 700г,,,3,,1
15,teos,Store A,open,Brand prefix,200,25.94,Масло сливочное безлактозное «Teos» 1кг | Йогурт греческий персик «Teos» 900г | Йогурт греческий черника «Teos» 140г,,,3,,1
16,греч не,Store C,open,Cyrillic split,200,151.39,Салат готовый vegan «CityLunch» 300г | Салат готовый оливье «FreshBar» 300г | Салат готовый grain bowl «GreenMix» 180г,,,3,,0
17,prosecco ro,Store F,open,Latin multi-word,200,47.78,Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое rose «Prosecco Alto» 1500мл,,,3,,1
18,джин то,Store F,open,Cocktail ingredient,200,18.57,Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный botanical «Volt Spirit» 700мл,,,3,,1
19,хозяйст мыло,Store D,open,Household goods,200,37.59,Батарейки AA alkaline «VoltEdge» 4шт | Пакеты для мусора 60л «StrongHold» 30шт | Полотенца бумажные эко «MaxiRoll» 2шт,,,3,,0
20,power bank 20,Store E,open,Numeric suffix,200,52.31,Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank 20000mAh «PowerStack» 1шт,,,3,,1
