idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,Store A,open,Mobile keystroke for butter/oil,200,120.2,Мармелад жевательный витаминный «Happy Llama» 75г | Макароны из твердых сортов penne «La Linea» 5кг | Макароны из твердых сортов fusilli «La Linea» 5кг | Мармелад жевательный ягодный «Bon Paris» 75г | Масло подсолнечное premium «Южное» 900мл,Кондитерские изделия | Бакалея | Бакалея | Кондитерские изделия | Бакалея,P0015 | P0014 | P0066 | P0028 | P0046,5,,0
2,йогурт гр,Store A,open,Partial multi-word,200,25.2,Йогурт греческий персик «Teos» 900г | Йогурт греческий персик «Mediterran» 900г | Йогурт греческий черника «Teos» 140г | Йогурт греческий черника «Teos» 900г | Йогурт греческий черника «Mediterran» 140г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0284 | P0243 | P0304 | P0726 | P0012,5,,1
3,bon pa,Store A,open,Foreign brand transliteration,200,18.2,Шоколад премиальный 70% «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Мармелад жевательный кола «Bon Paris» 150г | Мармелад жевательный ягодный «Bon Paris» 75г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0894 | P0638 | P0581 | P0917 | P0028,5,,1
4,холс,Store B,open,Brand typed in Cyrillic,200,12.8,Леденцы ментоловые «Halls» 35г,Кондитерские изделия,P1001,1,,1
5,крем для рук,Store B,open,Full phrase but should tolerate prefixes,200,19.2,Крем для рук питательный «Care&Go» 100мл | Крем для рук антибактериальный «Care&Go» 150мл | Крем для рук антибактериальный «Care&Go» 150мл | Крем для рук спа «Nordic Care» 150мл | Крем для рук коллаген «Herbal Line» 100мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0365 | P0400 | P0487 | P0451 | P0202,5,,1
6,масло раст 10л,Store C,open,B2B volume intent,200,13.6,Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 500мл | Масло подсолнечное premium «Rosa» 10000мл | Масло подсолнечное рафинированное «Helio» 900мл | Масло подсолнечное premium «Rosa» 500мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0150 | P0163 | P0491 | P0242 | P0824,5,,1
7,кар тофель,Store D,open,Broken spacing,200,9.5,,,,0,,0
8,xfq,Store E,open,Wrong keyboard layout for чай,200,13.0,Чай листовой жасмин «Greenfield» 75г | Чай листовой жасмин «Greenfield» 250г | Чай листовой зелёный «Greenfield» 250г | Чай листовой зелёный «Orient Leaf» 100г | Чай листовой чёрный «Samokat» 90г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0337 | P0307 | P0521 | P0469 | P0105,5,,1
9,adapter usb c,Store E,open,English technical query,200,13.8,Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «ChargeLab» 1шт | Адаптер USB-C gan «ChargeLab» 1шт | Адаптер USB-C dual port «ChargeLab» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0045 | P0512 | P0695 | P0946 | P0405,5,,1
10,pr,Store F,open,Wine prefix (prosecco/premium),200,11.6,Зубная паста fresh mint «ProDent» 75мл | Зубная паста sensitive «ProDent» 75мл | Филе грудки индейки в маринаде «ProteinPro» 700г | Филе грудки индейки охлажденное «ProteinPro» 5кг | Филе грудки индейки для стейков «ProteinPro» 700г,Косметика и гигиена | Косметика и гигиена | Мясо и птица | Мясо и птица | Мясо и птица,P0024 | P0027 | P0135 | P0288 | P0195,5,,1
