idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,,,Most frequent 2-char Cyrillic stop on Samokat,200,890.3,Масло подсолнечное premium «Южное» 900мл | Мармелад жевательный mix «KidsBox» 150г | Масло сливочное безлактозное «Teos» 1кг | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 500мл,Бакалея | Кондитерские изделия | Молочные продукты | Бакалея | Бакалея,P0046 | P0113 | P0116 | P0150 | P0163,10,,
2,масл 10л,,,B2B style digits merged with unit,200,68.2,Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Rosa» 10000мл | Масло подсолнечное premium «Helio» 10000мл,Бакалея | Бакалея | Бакалея,P0150 | P0491 | P0896,3,,
3,масло сл,,,Stops before final syllable,200,47.3,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное фермерское «Teos» 225г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0544 | P0713 | P0809 | P0944,10,,
4,масл раст horeca,,,Industry keyword seen in ClickHouse logs,200,44.9,Масло подсолнечное для HoReCa «ChefPro» 3000мл | Масло подсолнечное для HoReCa «Helio» 5000мл | Масло подсолнечное для HoReCa «Южное» 5000мл | Масло подсолнечное для HoReCa «Rosa» 3000мл | Масло подсолнечное для HoReCa «Helio» 500мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0238 | P0281 | P0423 | P0444 | P0705,10,,
5,йог гр,,,Word boundary removed mid-term,200,18.7,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,10,,
6,йог гр нат,,,Adds third token fragment,200,15.4,Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий натуральный «Mediterran» 170г | Йогурт греческий натуральный «Mykonos» 500г | Йогурт греческий натуральный «Mediterran» 140г | Йогурт греческий натуральный «Teos» 150г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0042 | P0494 | P0585 | P0723 | P0921,10,,
7,греч кр,,,Bare consonant cluster; common in Dixy feed,200,8.3,Крупа гречневая ядрица «Русская крупа» 15кг | Крупа гречневая ядрица «Русская крупа» 900г | Крупа гречневая organic «Русская крупа» 15кг | Крупа гречневая ядрица «Русская крупа» 1000г | Крупа гречневая organic «Русская крупа» 15кг,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0007 | P0132 | P0161 | P0169 | P0429,10,,
8,греч не,,,Helps test disambiguation logic,200,13.5,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,10,,
9,bon pa,,,Cyrillic brand typed in Latin,200,16.5,Мармелад жевательный ягодный «Bon Paris» 75г | Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Мармелад жевательный sour «Bon Paris» 90г | Шоколад премиальный 70% «Bon Paris» 90г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0028 | P0330 | P0581 | P0638 | P0894,10,,
10,fran сахар,,,Latin+Russian mix,200,10.1,Шоколад премиальный без сахара «Lattea» 100г | Йогурт греческий без сахара «Ionian» 500г | Сахар-песок рафинированный «Crystal» 900г | Сахар-песок 1кг «SugarBox» 900г | Протеиновый батончик без сахара «FitFuel» 40г,Кондитерские изделия | Молочные продукты | Бакалея | Бакалея | Здоровое питание,P0049 | P0057 | P0084 | P0193 | P0261,10,,
11,холс,,,Zero-hit regression we track,200,7.0,,,,0,,
12,хозяйст м,,,Captures stemmed nouns,200,14.4,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г | Мука пшеничная цельнозерновая «Старый Мельник» 900г | Мука пшеничная HoReCa 25 кг «Старый Мельник» 5кг | Энергетический напиток маракуйя «Volt» 500мл | Пакеты для мусора 60л «StrongHold» 30шт,Бакалея | Бакалея | Бакалея | Напитки | Хозяйственные товары,P0002 | P0446 | P0892 | P0003 | P0005,10,,
13,крем д рук,,,Squeezed prepositions/words,200,10.6,Крем для рук антибактериальный «Atelier Skin» 50мл | Крем для рук коллаген «Atelier Skin» 50мл | Крем для рук коллаген «Herbal Line» 100мл | Крем для рук питательный «Care&Go» 100мл | Крем для рук антибактериальный «Care&Go» 150мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0018 | P0130 | P0202 | P0365 | P0400,10,,
14,кар тоф,,,Space inside word,200,8.0,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г,Кондитерские изделия | Кондитерские изделия,P0379 | P0388,2,,
15,xfq,,,Keyboard layout swap (ч = x),200,11.4,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г | Чай листовой жасмин «Greenfield» 250г | Чай листовой жасмин «Greenfield» 75г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0105 | P0207 | P0276 | P0307 | P0337,10,,
16,xfqd crfxf,,,Entire phrase mis-keyboarded,200,13.0,,,,0,,
17,adapter usb c,,,Latin alphanumeric,200,23.2,Адаптер USB-C 65W «ChargeLab» 1шт | Кабель USB-C 1м «ChargeLab» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «ChargeLab» 1шт | Кабель USB-C 1м «ChargeLab» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0045 | P0321 | P0512 | P0695 | P0916,10,,
18,power bank 20,,,Number suffix as intent,200,9.1,Power Bank 20000mAh «PowerStack» 1шт | Power Bank 20000mAh «HyperCell» 1шт | Power Bank 20000mAh «VoltEdge» 1шт | Power Bank slim «PowerStack» 1шт | Power Bank slim «HyperCell» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0714 | P0122 | P0197 | P0925 | P0068,10,,
19,cat steril,,,Sourced from Samokat/Dixy logs,200,8.6,Корм для кошек сухой sterilised «CatCraft» 5кг | Корм для кошек сухой sterilised «PerfectTail» 400г | Корм для кошек сухой sterilised «PerfectTail» 10кг | Корм для кошек сухой hairball «CatCraft» 10кг | Корм для кошек сухой indoor «CatCraft» 400г,Зоотовары | Зоотовары | Зоотовары | Зоотовары | Зоотовары,P0634 | P0022 | P0158 | P0103 | P0129,10,,
20,dog hypo,,,Shorter than real phrase,200,6.9,Корм для собак гипоаллергенный salmon «DogForce» 12кг | Корм для собак гипоаллергенный medium «DogForce» 1500г | Корм для собак гипоаллергенный mini «DogForce» 1500г | Корм для собак гипоаллергенный salmon «DogForce» 800г | Корм для собак гипоаллергенный large «DogForce» 800г,Зоотовары | Зоотовары | Зоотовары | Зоотовары | Зоотовары,P0381 | P0393 | P0425 | P0493 | P0776,10,,
21,diap night,,,Common for zero-hits,200,7.2,,,,0,,
22,лампа led е27,,,Roman+Kirill letters plus socket,200,10.4,Лампа LED E27 «Volt» 4шт | Лампа LED E27 «EcoLight» 2шт | Лампа LED E27 «Volt» 4шт | Лампа LED E14 «Luma» 4шт | Лампа LED smart «BrightHome» 1шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0496 | P0609 | P0930 | P0155 | P0189,10,,
23,мешки 120л,,,Numeric prefix for packaging,200,5.9,,,,0,,
24,санпел,,,Harsh truncation of sparkling brand,200,14.2,Минеральная вода citrus «San Pellegrino» 1.5л,Напитки,P0789,1,,
25,джин то,,,Needs partial matching on 2nd term,200,7.7,Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный grapefruit «Nordic Gin» 1000мл | Джин премиальный botanical «Volt Spirit» 700мл | Джин премиальный citrus «Nordic Gin» 700мл | Джин премиальный botanical «Garage Barrel» 500мл,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Алкоголь,P0083 | P0095 | P0178 | P0236 | P0403,10,,
