idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,Store A,open,Mobile keystroke for butter/oil,200,5675.7,Энергетический напиток маракуйя «Volt» 500мл | Масло подсолнечное нерафинированное «Golden Field» 500мл | Макароны из твердых сортов penne «La Linea» 5кг | Мармелад жевательный витаминный «Happy Llama» 75г | Масло оливковое Extra Virgin «Gusto» 500мл,Напитки | Бакалея | Бакалея | Кондитерские изделия | Бакалея,P0003 | P0008 | P0014 | P0015 | P0023,5,,0
2,йогурт гр,Store A,open,Partial multi-word,200,69.5,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,5,,1
3,bon pa,Store A,open,Foreign brand transliteration,200,53.6,Мармелад жевательный ягодный «Bon Paris» 75г | Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Шоколад премиальный без сахара «Bon Paris» 200г | Мармелад жевательный sour «Bon Paris» 90г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0028 | P0330 | P0581 | P0633 | P0638,5,,1
4,холс,Store B,open,Brand typed in Cyrillic,200,34.9,,,,0,,0
5,крем для рук,Store B,open,Full phrase but should tolerate prefixes,200,98.7,Крем для рук коллаген «Herbal Line» 100мл | Крем для рук коллаген «Herbal Line» 100мл | Крем для рук питательный «Herbal Line» 75мл | Крем для рук спа «Herbal Line» 75мл | Крем для рук витамин Е «Herbal Line» 100мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0202 | P0501 | P0558 | P0625 | P0754,5,,1
6,масло раст 10л,Store C,open,B2B volume intent,200,95.1,Масло подсолнечное premium «Южное» 900мл | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 500мл | Масло подсолнечное для HoReCa «ChefPro» 3000мл | Масло подсолнечное рафинированное «Helio» 900мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0046 | P0150 | P0163 | P0238 | P0242,5,,1
7,кар тофель,Store D,open,Broken spacing,200,16.7,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г,Кондитерские изделия | Кондитерские изделия,P0379 | P0388,2,,0
8,xfq,Store E,open,Wrong keyboard layout for чай,200,30.4,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г | Чай листовой жасмин «Greenfield» 250г | Чай листовой жасмин «Greenfield» 75г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0105 | P0207 | P0276 | P0307 | P0337,5,,1
9,adapter usb c,Store E,open,English technical query,200,322.3,Кабель USB-C 1м «VoltEdge» 1шт | Кабель USB-C 2м «TechNode» 1шт | Кабель USB-C 1м «FlexWire» 1шт | Кабель USB-C magnetic «TechNode» 1шт | Кабель USB-C 1м «ChargeLab» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0093 | P0136 | P0140 | P0204 | P0321,5,,0
10,pr,Store F,open,Wine prefix (prosecco/premium),200,67.2,Минеральная вода premium glass «Aqua Pura» 750мл | Зубная паста fresh mint «ProDent» 75мл | Зубная паста sensitive «ProDent» 75мл | Подгузники детские premium «Huggsy» 26шт | Масло подсолнечное premium «Южное» 900мл,Напитки | Косметика и гигиена | Косметика и гигиена | Детские товары | Бакалея,P0016 | P0024 | P0027 | P0030 | P0046,5,,0
