idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,Store A,open,Mobile keystroke for butter/oil,200,218.8,Полотенца бумажные эко «MaxiRoll» 2шт | Полотенца бумажные кухонные «MaxiRoll» 2шт | Полотенца бумажные эко «MaxiRoll» 8шт | Полотенца бумажные кухонные «MaxiRoll» 4шт | Полотенца бумажные двухслойные «MaxiRoll» 6шт,Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары | Хозяйственные товары,P0031 | P0273 | P0364 | P0408 | P0465,5,,0
2,йогурт гр,Store A,open,Partial multi-word,200,86.6,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,5,,1
3,bon pa,Store A,open,Foreign brand transliteration,200,110.1,Мармелад жевательный ягодный «Bon Paris» 75г | Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Шоколад премиальный без сахара «Bon Paris» 200г | Мармелад жевательный sour «Bon Paris» 90г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0028 | P0330 | P0581 | P0633 | P0638,5,,1
4,холс,Store B,open,Brand typed in Cyrillic,200,15.0,Леденцы ментоловые «Halls» 35г,Кондитерские изделия,P1001,1,,1
5,крем для рук,Store B,open,Full phrase but should tolerate prefixes,200,125.4,Крем для рук коллаген «Herbal Line» 100мл | Крем для рук коллаген «Herbal Line» 100мл | Крем для рук питательный «Herbal Line» 75мл | Крем для рук спа «Herbal Line» 75мл | Крем для рук витамин Е «Herbal Line» 100мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0202 | P0501 | P0558 | P0625 | P0754,5,,1
6,масло раст 10л,Store C,open,B2B volume intent,200,88.0,Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Rosa» 10000мл | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Южное» 900мл | Масло подсолнечное premium «Helio» 500мл,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0150 | P0491 | P0896 | P0046 | P0163,5,,1
7,кар тофель,Store D,open,Broken spacing,200,13.8,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г,Кондитерские изделия | Кондитерские изделия,P0379 | P0388,2,,0
8,xfq,Store E,open,Wrong keyboard layout for чай,200,61.9,Чай листовой чёрный «Samokat» 90г | Чай листовой матча «Ahmad» 75г | Чай листовой улун «Ahmad» 250г | Чай листовой жасмин «Greenfield» 250г | Чай листовой жасмин «Greenfield» 75г,Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай | Кофе и чай,P0105 | P0207 | P0276 | P0307 | P0337,5,,1
9,adapter usb c,Store E,open,English technical query,200,68.4,Адаптер USB-C 35W «TechNode» 1шт | Адаптер USB-C 65W «ChargeLab» 1шт | Адаптер USB-C gan «VoltEdge» 1шт | Кабель USB-C 1м «VoltEdge» 1шт | Адаптер USB-C gan «TechNode» 1шт,Электроника | Электроника | Электроника | Электроника | Электроника,P0013 | P0045 | P0072 | P0093 | P0120,5,,1
10,pr,Store F,open,Wine prefix (prosecco/premium),200,95.7,Вино игристое prosecco «Prosecco Alto» 1500мл | Вино игристое prosecco «Prosecco Alto» 750мл | Вино игристое prosecco «Premium Cellar» 750мл | Вино игристое prosecco «Premium Cellar» 1500мл | Протеиновый батончик шоколад «ProteinLab» 90г,Алкоголь | Алкоголь | Алкоголь | Алкоголь | Здоровое питание,P0110 | P0183 | P0546 | P0666 | P0528,5,,1
